borrowerage,maritalstatus,householdsize,dependents,region,level,borrowercreditscore,employmentstatus,inflationrate,repaymentplan,collectionefforts,loanamount,remainingamount,interestratechange,lossdefault
31,Married,5,0,South,Degree,666,Employed,9.06,Voluntary,Calls,4000000,1217873.81,0.71,No Default
35,Married,4,3,South,Degree,728,Self-employed,4.13,Voluntary,Calls,1760000,1041274.85,0.0,No Default
28,Divorced,2,1,North,Diploma,638,Unemployed,9.63,Voluntary,Reminders,2000000,302877.17,1.14,Default
39,Married,4,0,North,Degree,618,Employed,18.11,Voluntary,No Collectioneffort,4000000,2450765.04,1.18,Default
36,Married,2,0,North,Degree,619,Employed,16.85,Salary,Reminders,1760000,945048.54,0.76,Default
19,Single,2,1,South,Degree,742,Unemployed,8.32,Salary,Notices,1760000,1063173.75,1.07,Default
21,Single,2,3,North,Diploma,645,Employed,6.14,Salary,Notices,1760000,925119.76,0.19,No Default
35,Married,1,1,North,Diploma,603,Employed,8.32,Salary,No Collectioneffort,1760000,892797.19,0.63,No Default
23,Married,4,3,South,Degree,656,Employed,4.39,Salary,No Collectioneffort,2000000,1869658.74,0.82,No Default
37,Married,3,2,North,Diploma,618,Employed,5.7,Salary,Notices,1760000,632239.12,1.04,No Default
25,Single,2,0,South,Degree,629,Employed,6.09,Voluntary,Calls,1760000,868335.32,1.38,No Default
23,Married,4,5,Central,Diploma,731,Self-employed,16.05,Voluntary,Notices,1760000,264449.88,1.71,Default
34,Single,4,0,Central,Degree,656,Self-employed,19.91,Voluntary,No Collectioneffort,880000,514579.32,1.66,Default
20,Married,1,0,North,Degree,586,Employed,6.07,Salary,Reminders,4000000,3788512.27,0.43,Default
30,Single,3,3,North,Degree,627,Self-employed,9.89,Salary,Reminders,1760000,350158.7,0.91,No Default
34,Single,3,0,North,Diploma,557,Employed,5.31,Salary,No Collectioneffort,880000,306697.0,1.92,No Default
25,Single,3,1,North,Degree,612,Employed,15.43,Salary,Calls,1760000,1217845.84,1.0,Default
37,Single,3,4,North,Degree,700,Employed,13.62,Salary,Calls,1760000,1663225.01,1.35,Default
18,Married,2,2,North,Degree,613,Self-employed,15.41,Salary,No Collectioneffort,1760000,1097593.46,0.43,Default
36,Single,2,1,North,Degree,782,Employed,5.3,Voluntary,No Collectioneffort,2000000,656051.99,0.93,No Default
31,Single,4,2,South,Diploma,519,Unemployed,12.4,Voluntary,Calls,2000000,327020.93,0.54,Default
23,Married,4,3,South,Diploma,627,Employed,7.63,Salary,Calls,1760000,785636.47,1.44,No Default
28,Married,2,1,South,Degree,655,Unemployed,19.77,Salary,Reminders,1760000,880951.01,0.07,Default
24,Single,1,2,South,Diploma,653,Self-employed,10.87,Voluntary,No Collectioneffort,880000,566233.65,1.42,Default
31,Single,4,6,North,Diploma,678,Employed,13.6,Salary,No Collectioneffort,1760000,1007150.25,0.17,Default
19,Divorced,2,5,South,Degree,636,Self-employed,4.75,Voluntary,No Collectioneffort,1760000,807865.08,0.11,No Default
30,Married,2,1,Central,Diploma,712,Unemployed,11.39,Salary,No Collectioneffort,1760000,706112.35,0.18,Default
33,Single,2,0,North,Diploma,588,Self-employed,9.74,Voluntary,No Collectioneffort,880000,374580.11,1.9,Default
20,Married,2,2,North,Degree,638,Employed,13.43,Salary,No Collectioneffort,4000000,699644.46,1.56,No Default
34,Single,2,0,Central,Degree,594,Self-employed,7.96,Salary,Calls,1760000,1284286.02,0.18,No Default
24,Single,3,2,Central,Degree,625,Employed,15.51,Voluntary,Calls,4000000,1191078.86,1.32,No Default
20,Married,1,1,Central,Degree,637,Self-employed,13.96,Voluntary,Notices,1760000,1627077.48,1.25,Default
18,Married,6,2,North,Diploma,680,Self-employed,18.2,Salary,No Collectioneffort,2000000,1827790.53,1.92,Default
22,Single,5,1,North,Diploma,599,Unemployed,4.35,Salary,No Collectioneffort,4000000,3934182.13,1.09,Default
38,Married,5,5,Central,Degree,636,Self-employed,14.21,Voluntary,No Collectioneffort,1760000,1709104.62,1.57,Default
26,Single,4,0,North,Degree,651,Employed,4.42,Salary,Notices,1760000,1315879.39,1.29,No Default
20,Single,3,0,North,Degree,657,Employed,16.53,Voluntary,No Collectioneffort,1760000,207764.61,0.83,Default
38,Single,2,3,South,Degree,594,Unemployed,5.53,Voluntary,No Collectioneffort,1760000,1342255.21,0.25,Default
34,Single,1,1,South,Degree,661,Employed,9.64,Salary,Notices,2000000,534103.58,1.57,No Default
28,Divorced,1,1,Central,Degree,708,Self-employed,4.32,Voluntary,No Collectioneffort,1760000,1035263.13,1.86,No Default
18,Married,2,5,South,Diploma,707,Employed,3.15,Voluntary,Reminders,4000000,1635293.3,0.53,Default
26,Single,3,2,South,Diploma,636,Unemployed,19.16,Salary,Reminders,2000000,855892.01,0.43,Default
20,Divorced,6,2,North,Degree,675,Employed,6.48,Salary,No Collectioneffort,2000000,1552145.13,0.24,No Default
30,Married,2,0,Central,Diploma,641,Employed,4.39,Salary,Calls,1760000,785778.32,1.87,No Default
32,Married,3,2,South,Degree,703,Employed,4.56,Voluntary,No Collectioneffort,880000,175144.97,1.73,No Default
31,Divorced,3,1,South,Degree,683,Employed,16.06,Voluntary,Calls,4000000,3388177.07,0.04,Default
24,Single,2,1,South,Degree,592,Self-employed,13.36,Salary,Calls,1760000,1297510.42,0.3,Default
30,Married,5,3,Central,Diploma,642,Self-employed,14.05,Voluntary,No Collectioneffort,4000000,2262081.09,1.08,Default
39,Married,3,1,South,Degree,617,Unemployed,17.21,Salary,Calls,880000,331767.53,0.03,Default
24,Married,2,6,North,Degree,645,Employed,7.94,Salary,No Collectioneffort,1760000,1244194.1,1.2,No Default
37,Married,5,3,South,Degree,592,Self-employed,19.34,Salary,Calls,4000000,2883743.26,0.88,Default
32,Single,3,2,Central,Diploma,644,Employed,3.08,Salary,No Collectioneffort,1760000,516592.57,0.9,No Default
29,Married,3,2,South,Degree,642,Employed,17.08,Voluntary,No Collectioneffort,4000000,926841.04,0.85,No Default
34,Single,3,1,Central,Diploma,643,Self-employed,14.63,Salary,No Collectioneffort,1760000,1206657.39,0.05,Default
31,Single,3,0,Central,Diploma,662,Employed,14.79,Salary,No Collectioneffort,4000000,3199082.73,1.4,Default
37,Single,2,0,South,Degree,572,Unemployed,5.77,Voluntary,No Collectioneffort,1760000,466139.88,0.18,No Default
40,Divorced,4,0,Central,Degree,689,Self-employed,11.25,Voluntary,Reminders,4000000,1578785.42,0.4,No Default
29,Single,5,5,South,Degree,691,Self-employed,18.35,Voluntary,Notices,1760000,1113720.59,0.27,Default
25,Married,3,1,North,Diploma,720,Self-employed,18.91,Salary,No Collectioneffort,880000,153775.44,1.02,Default
31,Single,3,2,South,Degree,645,Employed,11.6,Voluntary,Calls,1760000,289220.15,1.09,No Default
29,Divorced,4,2,North,Degree,663,Self-employed,14.1,Voluntary,No Collectioneffort,880000,294467.17,0.63,No Default
17,Single,2,2,North,Diploma,702,Employed,13.44,Salary,No Collectioneffort,2000000,315617.18,0.34,No Default
23,Married,6,2,North,Degree,614,Unemployed,15.83,Salary,Calls,1760000,1199716.28,1.65,Default
25,Married,3,1,North,Degree,674,Employed,18.19,Voluntary,No Collectioneffort,1760000,461162.46,1.97,No Default
40,Married,2,4,Central,Diploma,613,Employed,14.01,Salary,Calls,1760000,878307.88,1.19,Default
17,Single,3,4,Central,Degree,675,Self-employed,4.08,Salary,Calls,4000000,3482266.11,1.34,Default
28,Married,3,2,South,Degree,669,Employed,6.89,Voluntary,Notices,2000000,1173802.43,0.9,No Default
24,Divorced,1,4,Central,Degree,605,Self-employed,12.99,Voluntary,Notices,1760000,1727866.65,0.36,Default
40,Married,4,0,North,Degree,675,Self-employed,17.06,Voluntary,No Collectioneffort,1760000,524191.76,1.43,Default
27,Single,3,0,North,Degree,628,Self-employed,19.6,Voluntary,No Collectioneffort,4000000,1797516.87,1.64,Default
35,Married,4,2,Central,Diploma,641,Self-employed,8.4,Salary,No Collectioneffort,4000000,3746288.25,1.84,Default
33,Single,2,3,South,Degree,690,Employed,14.76,Voluntary,No Collectioneffort,1760000,943212.84,0.41,No Default
24,Married,3,1,South,Degree,703,Self-employed,15.24,Salary,No Collectioneffort,4000000,3464509.64,1.59,Default
19,Married,4,1,Central,Diploma,670,Employed,9.39,Voluntary,Reminders,880000,493001.75,0.74,Default
19,Single,6,0,North,Degree,650,Self-employed,8.85,Salary,Reminders,1760000,214140.54,1.52,No Default
17,Married,4,6,South,Degree,685,Employed,13.8,Voluntary,No Collectioneffort,1760000,1064947.82,0.41,Default
21,Married,4,3,South,Degree,633,Unemployed,9.62,Salary,No Collectioneffort,4000000,3340313.26,0.61,Default
26,Married,2,1,North,Diploma,694,Employed,19.89,Salary,No Collectioneffort,4000000,3783563.13,0.34,Default
23,Single,4,6,Central,Degree,619,Unemployed,12.78,Voluntary,Notices,4000000,3839367.82,1.33,Default
25,Married,2,0,North,Degree,639,Employed,7.53,Voluntary,Calls,4000000,3514641.93,1.87,No Default
23,Married,2,1,North,Degree,603,Employed,10.07,Voluntary,No Collectioneffort,4000000,3705502.94,1.83,No Default
25,Single,1,0,North,Diploma,645,Self-employed,17.45,Salary,No Collectioneffort,1760000,1750297.46,1.59,Default
24,Single,4,1,North,Degree,725,Employed,10.12,Salary,No Collectioneffort,2000000,1402185.34,1.52,No Default
28,Divorced,1,0,Central,Degree,726,Self-employed,6.6,Salary,Notices,4000000,2886576.24,1.74,No Default
18,Single,1,1,North,Degree,731,Self-employed,4.47,Voluntary,No Collectioneffort,4000000,939923.02,1.35,No Default
17,Divorced,2,5,Central,Diploma,617,Self-employed,6.33,Salary,Calls,1760000,1586640.02,1.25,Default
32,Single,3,1,North,Degree,785,Employed,15.36,Voluntary,Notices,880000,307935.26,0.77,No Default
39,Single,4,1,Central,Degree,709,Employed,6.77,Salary,Calls,2000000,484628.83,1.63,No Default
39,Married,2,2,North,Degree,700,Unemployed,16.41,Salary,Notices,880000,744864.24,1.69,Default
40,Married,3,2,North,Diploma,662,Employed,4.31,Salary,Calls,2000000,1811661.11,0.28,No Default
21,Married,2,6,South,Degree,571,Employed,8.79,Voluntary,Notices,1760000,1518521.17,0.64,Default
19,Married,2,1,North,Degree,618,Self-employed,5.07,Salary,No Collectioneffort,4000000,3920634.46,0.48,No Default
28,Married,1,3,South,Degree,629,Employed,3.84,Salary,Reminders,1760000,1406375.35,1.26,No Default
24,Single,2,1,South,Degree,642,Employed,12.51,Salary,Notices,4000000,2406182.07,1.38,No Default
38,Married,3,0,Central,Degree,628,Unemployed,7.22,Salary,Reminders,1760000,1757679.7,1.01,Default
19,Single,2,1,Central,Degree,648,Self-employed,15.07,Salary,Reminders,1760000,604281.54,0.54,Default
17,Married,4,1,South,Degree,673,Employed,17.86,Voluntary,No Collectioneffort,4000000,3975251.29,0.15,Default
19,Single,6,1,North,Degree,653,Self-employed,12.07,Voluntary,Calls,2000000,728078.75,0.78,Default
21,Single,1,2,North,Degree,639,Unemployed,10.4,Salary,No Collectioneffort,4000000,2592858.11,0.34,Default
31,Married,1,1,North,Degree,636,Self-employed,7.81,Voluntary,Calls,2000000,1679403.37,1.85,No Default
30,Single,4,5,North,Degree,720,Employed,9.0,Salary,Notices,4000000,1205477.0,0.11,No Default
19,Single,2,6,Central,Degree,630,Unemployed,8.3,Salary,No Collectioneffort,2000000,641099.46,1.64,Default
17,Married,2,1,North,Diploma,688,Employed,8.91,Salary,Calls,2000000,1471476.04,0.86,Default
21,Married,2,2,South,Diploma,651,Employed,17.75,Voluntary,Calls,4000000,2290475.17,1.1,Default
39,Married,5,1,Central,Degree,556,Employed,19.4,Voluntary,No Collectioneffort,2000000,856887.43,0.25,Default
30,Married,3,1,North,Degree,766,Self-employed,17.21,Salary,No Collectioneffort,1760000,973773.48,1.49,Default
23,Single,1,6,Central,Degree,711,Employed,12.27,Voluntary,Calls,4000000,2401580.93,1.07,Default
25,Married,1,0,South,Diploma,763,Employed,17.18,Salary,Notices,880000,634320.92,0.62,Default
31,Single,2,1,Central,Degree,694,Self-employed,14.45,Salary,No Collectioneffort,880000,257087.81,1.62,No Default
31,Married,2,0,North,Diploma,652,Employed,12.74,Voluntary,No Collectioneffort,880000,737826.02,0.53,Default
26,Divorced,3,2,South,Diploma,678,Employed,17.4,Voluntary,Calls,4000000,1663126.54,1.16,Default
29,Married,4,0,South,Diploma,626,Unemployed,16.34,Voluntary,Calls,880000,543982.03,0.99,Default
35,Married,2,4,Central,Degree,607,Self-employed,13.72,Voluntary,Notices,4000000,955559.78,0.98,No Default
23,Single,2,1,Central,Degree,754,Employed,13.37,Voluntary,No Collectioneffort,1760000,425621.04,1.34,No Default
33,Married,2,4,South,Degree,635,Unemployed,11.74,Salary,No Collectioneffort,2000000,757959.31,0.57,No Default
36,Married,1,6,South,Degree,656,Employed,9.73,Voluntary,No Collectioneffort,2000000,584889.05,1.76,No Default
20,Single,5,3,Central,Degree,673,Self-employed,15.13,Salary,Notices,1760000,718022.77,0.77,Default
21,Single,1,2,North,Degree,638,Self-employed,7.0,Salary,Reminders,4000000,3797973.06,1.41,Default
39,Married,2,0,North,Degree,698,Employed,11.84,Salary,Notices,1760000,843407.64,1.15,No Default
23,Married,1,5,North,Diploma,645,Unemployed,6.54,Salary,Reminders,880000,594571.31,1.19,Default
29,Single,3,3,North,Degree,826,Unemployed,16.69,Salary,Reminders,4000000,2209924.5,0.96,Default
31,Divorced,5,0,Central,Degree,554,Unemployed,18.11,Salary,Notices,1760000,1689973.66,0.6,Default
27,Single,1,1,South,Degree,616,Self-employed,11.67,Salary,No Collectioneffort,4000000,956690.91,1.2,No Default
20,Single,2,0,Central,Degree,703,Employed,9.79,Salary,Reminders,4000000,718955.05,0.63,No Default
29,Married,1,2,Central,Degree,571,Employed,3.74,Salary,Calls,4000000,931349.25,0.97,No Default
23,Single,4,0,North,Degree,659,Self-employed,8.35,Salary,Reminders,1760000,832139.64,1.7,Default
35,Married,3,2,South,Degree,633,Unemployed,8.45,Salary,Notices,1760000,453173.86,1.33,No Default
38,Single,3,2,North,Diploma,644,Unemployed,8.59,Voluntary,Calls,4000000,2237775.68,1.97,Default
18,Single,3,1,Central,Degree,710,Self-employed,10.09,Salary,No Collectioneffort,1760000,498068.35,0.1,No Default
26,Single,5,5,Central,Degree,657,Employed,8.74,Voluntary,No Collectioneffort,4000000,2269728.02,1.65,Default
29,Divorced,2,3,North,Degree,612,Employed,6.0,Salary,Reminders,1760000,392693.3,1.25,No Default
37,Married,3,1,North,Degree,700,Employed,18.33,Salary,No Collectioneffort,4000000,2850944.45,0.37,Default
22,Married,3,4,South,Diploma,661,Employed,13.65,Voluntary,No Collectioneffort,4000000,559445.8,0.59,Default
28,Single,3,4,North,Diploma,580,Self-employed,8.17,Salary,Notices,4000000,3834634.16,0.52,Default
28,Married,2,2,South,Degree,616,Employed,17.44,Voluntary,No Collectioneffort,880000,447473.76,0.34,Default
36,Married,2,0,North,Diploma,645,Employed,7.01,Voluntary,Reminders,880000,462188.55,1.7,Default
27,Divorced,1,1,South,Diploma,688,Self-employed,5.28,Salary,No Collectioneffort,880000,381603.29,0.33,No Default
39,Married,2,4,North,Diploma,643,Employed,4.71,Voluntary,Notices,2000000,1068202.75,0.79,Default
23,Married,3,2,Central,Degree,697,Employed,12.75,Salary,No Collectioneffort,4000000,1722070.11,1.75,No Default
17,Single,1,1,North,Diploma,653,Self-employed,3.92,Voluntary,No Collectioneffort,880000,135553.76,0.98,No Default
17,Married,3,5,South,Degree,616,Self-employed,14.3,Voluntary,Calls,880000,656333.31,0.02,Default
36,Married,4,0,South,Degree,652,Self-employed,10.69,Voluntary,No Collectioneffort,1760000,611757.12,1.89,No Default
29,Divorced,2,0,North,Degree,686,Employed,12.07,Voluntary,Calls,4000000,1947719.77,0.11,No Default
25,Single,2,4,Central,Degree,640,Self-employed,9.53,Salary,No Collectioneffort,4000000,1799689.12,0.78,No Default
19,Single,4,0,North,Diploma,594,Self-employed,11.76,Voluntary,No Collectioneffort,4000000,2332795.98,1.5,Default
23,Married,3,1,North,Degree,659,Self-employed,3.85,Salary,Calls,1760000,1165655.94,1.84,No Default
22,Single,1,4,North,Degree,604,Employed,8.86,Salary,No Collectioneffort,4000000,2575934.32,1.8,Default
24,Single,2,2,North,Diploma,724,Employed,15.9,Voluntary,No Collectioneffort,4000000,2601681.12,0.09,Default
25,Married,3,2,North,Degree,706,Employed,5.42,Salary,No Collectioneffort,880000,166539.39,1.53,No Default
21,Married,3,2,North,Diploma,638,Employed,3.1,Voluntary,No Collectioneffort,1760000,252341.09,1.77,No Default
17,Married,3,1,North,Diploma,672,Unemployed,6.76,Voluntary,No Collectioneffort,4000000,1022943.76,0.51,Default
35,Married,3,1,South,Degree,645,Employed,3.14,Salary,No Collectioneffort,2000000,1723336.98,0.04,No Default
26,Single,4,2,North,Degree,725,Unemployed,12.33,Salary,No Collectioneffort,1760000,1300770.3,1.68,Default
28,Married,2,1,South,Diploma,569,Employed,4.05,Voluntary,Calls,1760000,1400693.59,0.1,Default
40,Single,3,3,North,Degree,659,Employed,8.81,Voluntary,No Collectioneffort,880000,285780.68,0.57,No Default
31,Divorced,6,1,North,Degree,602,Employed,6.07,Voluntary,Notices,1760000,1745697.19,1.2,No Default
38,Married,2,0,North,Degree,671,Self-employed,12.53,Salary,Notices,4000000,2137997.55,1.05,No Default
40,Single,4,0,South,Diploma,555,Unemployed,6.91,Salary,No Collectioneffort,880000,354901.85,0.93,Default
25,Single,2,1,Central,Diploma,666,Employed,19.14,Salary,No Collectioneffort,1760000,1359406.02,0.96,Default
36,Married,2,4,North,Degree,746,Unemployed,14.46,Salary,Notices,4000000,897178.95,1.15,No Default
33,Single,5,1,Central,Degree,622,Unemployed,12.44,Voluntary,Calls,1760000,1547893.14,0.17,Default
33,Single,1,0,Central,Diploma,574,Employed,15.51,Voluntary,No Collectioneffort,1760000,979779.44,1.29,Default
36,Married,2,0,South,Degree,682,Self-employed,4.45,Salary,No Collectioneffort,4000000,2585221.09,1.44,No Default
28,Married,3,1,North,Degree,634,Self-employed,10.63,Salary,No Collectioneffort,4000000,2293105.44,0.39,No Default
23,Single,2,0,South,Degree,697,Unemployed,4.8,Voluntary,No Collectioneffort,880000,338790.61,0.65,No Default
18,Married,3,0,South,Degree,704,Employed,19.0,Salary,No Collectioneffort,1760000,1192418.2,1.07,Default
19,Married,2,2,North,Degree,701,Employed,4.83,Voluntary,Reminders,4000000,1837649.26,0.03,Default
33,Single,1,3,Central,Degree,648,Unemployed,15.8,Salary,No Collectioneffort,2000000,1821357.63,1.01,Default
21,Married,2,4,North,Diploma,741,Self-employed,3.11,Voluntary,No Collectioneffort,2000000,1767760.72,0.44,Default
33,Single,3,3,North,Diploma,689,Employed,9.65,Voluntary,No Collectioneffort,880000,814132.78,1.92,Default
40,Married,3,1,South,Degree,613,Employed,17.54,Salary,No Collectioneffort,4000000,2248354.38,0.19,Default
33,Married,3,2,South,Degree,617,Unemployed,11.55,Voluntary,No Collectioneffort,1760000,222317.13,0.7,Default
33,Married,3,2,South,Degree,715,Self-employed,18.86,Salary,No Collectioneffort,2000000,1764383.21,0.99,Default
18,Married,2,0,North,Degree,683,Unemployed,6.6,Salary,No Collectioneffort,4000000,1891470.84,0.17,Default
18,Single,4,1,North,Degree,613,Self-employed,15.44,Voluntary,Calls,4000000,2842125.58,1.48,Default
38,Single,1,0,South,Diploma,632,Self-employed,8.06,Salary,No Collectioneffort,2000000,700849.43,0.13,No Default
39,Married,2,0,North,Degree,646,Employed,6.8,Voluntary,Calls,4000000,3786974.15,1.26,No Default
21,Married,3,0,North,Degree,691,Unemployed,4.73,Salary,No Collectioneffort,880000,566473.59,1.08,Default
17,Single,2,5,South,Diploma,638,Employed,16.64,Voluntary,No Collectioneffort,4000000,3000051.77,0.36,Default
17,Married,3,3,North,Degree,715,Employed,15.25,Voluntary,Calls,1760000,1399180.26,0.52,Default
35,Single,2,1,Central,Degree,668,Employed,6.75,Voluntary,Calls,1760000,742568.44,1.13,No Default
18,Single,3,0,South,Degree,718,Employed,9.39,Salary,Notices,4000000,1785391.12,1.61,Default
37,Married,2,0,South,Degree,592,Employed,17.54,Salary,No Collectioneffort,4000000,2559235.79,0.03,Default
28,Single,6,1,North,Degree,725,Employed,12.9,Voluntary,Calls,1760000,949879.85,1.15,Default
22,Married,2,2,North,Degree,708,Self-employed,14.84,Voluntary,Notices,4000000,2988145.15,0.96,Default
39,Single,3,3,North,Degree,653,Employed,11.23,Salary,Calls,4000000,2364148.37,1.88,No Default
20,Single,4,0,Central,Diploma,623,Self-employed,17.12,Voluntary,Notices,2000000,586008.18,0.87,Default
39,Married,3,1,South,Degree,715,Unemployed,13.56,Salary,Calls,4000000,2945542.03,1.82,Default
27,Married,3,5,South,Degree,627,Self-employed,7.98,Salary,No Collectioneffort,4000000,2975899.17,1.5,Default
40,Married,3,0,Central,Diploma,649,Employed,4.11,Voluntary,Calls,4000000,1699582.74,0.98,Default
33,Married,3,1,Central,Degree,675,Self-employed,16.4,Salary,No Collectioneffort,2000000,519013.92,0.08,No Default
22,Single,4,0,South,Degree,593,Employed,6.85,Voluntary,Notices,4000000,1044387.0,1.81,Default
40,Married,1,0,South,Degree,640,Employed,13.03,Salary,No Collectioneffort,4000000,2631029.88,1.88,No Default
21,Divorced,4,3,Central,Degree,603,Self-employed,18.51,Voluntary,Calls,4000000,3725772.38,1.27,Default
36,Married,3,2,North,Degree,572,Unemployed,12.76,Salary,Reminders,1760000,1461079.39,1.85,Default
18,Single,4,1,North,Diploma,754,Employed,12.4,Salary,No Collectioneffort,1760000,1487253.0,0.85,Default
22,Single,1,1,South,Degree,617,Unemployed,15.85,Salary,No Collectioneffort,880000,760389.66,1.33,Default
38,Divorced,4,3,North,Degree,681,Employed,12.16,Voluntary,Notices,2000000,270990.37,0.12,No Default
27,Married,1,0,North,Degree,754,Employed,4.25,Salary,No Collectioneffort,1760000,1186451.11,1.54,No Default
32,Married,3,0,North,Diploma,618,Employed,8.46,Salary,Calls,880000,420133.26,0.61,No Default
32,Married,2,4,North,Degree,586,Employed,6.79,Voluntary,Calls,4000000,2454007.81,1.85,Default
17,Single,3,3,North,Degree,738,Employed,17.04,Salary,No Collectioneffort,2000000,357339.02,0.56,Default
25,Married,3,3,North,Diploma,603,Employed,12.58,Voluntary,No Collectioneffort,1760000,585157.27,0.91,No Default
22,Divorced,2,2,North,Degree,629,Employed,13.59,Salary,No Collectioneffort,4000000,1394766.2,0.86,No Default
32,Married,3,0,South,Degree,621,Employed,16.46,Voluntary,No Collectioneffort,4000000,2339864.07,1.89,Default
19,Single,2,5,South,Degree,657,Employed,8.44,Voluntary,No Collectioneffort,1760000,577501.45,1.6,No Default
36,Single,3,1,Central,Degree,558,Employed,17.82,Voluntary,Calls,2000000,557687.31,0.48,Default
20,Single,3,0,Central,Degree,681,Unemployed,4.7,Salary,No Collectioneffort,880000,101600.93,1.25,Default
35,Married,1,1,North,Degree,673,Unemployed,9.75,Voluntary,Reminders,1760000,1540155.27,1.56,Default
19,Single,3,0,North,Degree,693,Self-employed,15.11,Salary,No Collectioneffort,4000000,1567129.85,1.56,Default
35,Single,3,0,Central,Degree,692,Employed,12.34,Salary,Notices,880000,725084.64,0.3,No Default
36,Divorced,2,0,North,Diploma,672,Employed,10.94,Salary,Notices,4000000,1720284.45,1.28,No Default
23,Single,5,0,South,Degree,634,Employed,6.82,Voluntary,Calls,1760000,1375107.74,0.93,No Default
36,Single,3,0,North,Degree,652,Self-employed,18.02,Voluntary,No Collectioneffort,1760000,1639963.37,0.03,Default
25,Single,2,0,South,Degree,617,Self-employed,17.78,Salary,Notices,2000000,626425.92,0.36,No Default
17,Single,1,0,Central,Degree,659,Self-employed,18.2,Salary,No Collectioneffort,4000000,2593977.01,1.62,Default
24,Married,3,0,South,Diploma,610,Employed,5.28,Salary,No Collectioneffort,1760000,1370390.3,0.52,No Default
